Timestamp,Temperature (°C),Machine Speed (RPM),Production Quality Score,Vibration Level (mm/s),Energy Consumption (kWh),Optimal Conditions
2025-04-01 08:00:00,78.92,1461,8.49,0.07,1.97,0
2025-04-01 08:01:00,71.83,1549,8.97,0.04,1.01,0
2025-04-01 08:02:00,74.88,1498,8.52,0.08,1.6,0
2025-04-01 08:03:00,77.27,1478,8.28,0.09,1.87,0
2025-04-01 08:04:00,76.5,1524,8.07,0.04,1.53,0
2025-04-01 08:05:00,74.05,1486,8.27,0.08,1.74,0
2025-04-01 08:06:00,75.42,1545,8.04,0.08,1.4,0
2025-04-01 08:07:00,75.29,1470,8.29,0.07,1.75,0
2025-04-01 08:08:00,72.94,1531,8.22,0.1,1.03,0
2025-04-01 08:09:00,76.28,1509,8.54,0.03,1.59,0
2025-04-01 08:10:00,73.92,1543,8.02,0.08,1.75,0
2025-04-01 08:11:00,73.63,1501,8.6,0.05,1.46,0
2025-04-01 08:12:00,74.1,1489,8.1,0.03,1.8,1
2025-04-01 08:13:00,74.32,1547,8.59,0.08,1.5,0
2025-04-01 08:14:00,76.1,1519,8.32,0.05,1.85,0
2025-04-01 08:15:00,72.74,1497,8.31,0.08,1.73,0
2025-04-01 08:16:00,74.07,1542,8.3,0.07,1.81,0
2025-04-01 08:17:00,73.17,1548,8.56,0.07,1.11,0
2025-04-01 08:18:00,75.67,1466,8.45,0.04,1.64,0
2025-04-01 08:19:00,70.29,1467,8.18,0.07,1.8,0
2025-04-01 08:20:00,73.17,1531,8.57,0.04,1.76,0
2025-04-01 08:21:00,74.91,1546,8.98,0.07,1.26,0
2025-04-01 08:22:00,71.95,1463,8.25,0.07,1.17,0
2025-04-01 08:23:00,74.39,1516,8.74,0.03,1.07,1
2025-04-01 08:24:00,73.95,1532,8.15,0.05,1.33,0
2025-04-01 08:25:00,76.89,1479,8.26,0.08,1.86,0
2025-04-01 08:26:00,74.43,1495,8.72,0.06,1.63,1
2025-04-01 08:27:00,72.67,1451,8.61,0.04,1.32,0
2025-04-01 08:28:00,76.97,1501,8.35,0.04,1.75,0
2025-04-01 08:29:00,76.25,1538,8.95,0.08,1.63,0
2025-04-01 08:30:00,74.86,1466,8.61,0.05,1.53,0
2025-04-01 08:31:00,70.33,1494,8.03,0.09,1.16,0
2025-04-01 08:32:00,75.15,1491,8.55,0.06,1.7,1
2025-04-01 08:33:00,74.5,1545,8.1,0.03,1.59,0
2025-04-01 08:34:00,77.8,1536,8.97,0.05,1.47,0
2025-04-01 08:35:00,75.23,1522,8.44,0.05,1.81,1
2025-04-01 08:36:00,72.43,1544,8.42,0.06,1.12,0
2025-04-01 08:37:00,76.16,1511,8.61,0.09,1.18,0
2025-04-01 08:38:00,76.1,1472,8.93,0.06,1.49,0
2025-04-01 08:39:00,75.22,1495,8.23,0.03,1.37,1
2025-04-01 08:40:00,77.85,1492,8.11,0.04,1.37,0
2025-04-01 08:41:00,75.6,1542,8.9,0.06,1.12,0
2025-04-01 08:42:00,71.82,1528,8.79,0.06,2.0,0
2025-04-01 08:43:00,70.67,1487,8.73,0.05,1.24,0
2025-04-01 08:44:00,75.86,1547,8.66,0.08,1.16,0
2025-04-01 08:45:00,72.12,1494,8.54,0.04,1.67,0
2025-04-01 08:46:00,75.32,1462,8.44,0.08,1.44,0
2025-04-01 08:47:00,77.55,1539,8.97,0.04,1.85,0
2025-04-01 08:48:00,73.85,1528,8.77,0.05,1.03,0
2025-04-01 08:49:00,75.62,1452,8.51,0.09,1.65,0
2025-04-01 08:50:00,74.54,1533,8.29,0.05,1.1,0
2025-04-01 08:51:00,78.32,1537,8.22,0.07,1.95,0
2025-04-01 08:52:00,73.85,1459,8.2,0.09,1.8,0
2025-04-01 08:53:00,77.2,1491,8.61,0.03,1.11,0
2025-04-01 08:54:00,77.06,1545,8.05,0.04,1.22,0
2025-04-01 08:55:00,78.86,1546,8.83,0.09,1.69,0
2025-04-01 08:56:00,76.09,1502,8.33,0.05,1.67,0
2025-04-01 08:57:00,76.17,1546,8.92,0.04,1.4,0
2025-04-01 08:58:00,78.14,1457,8.9,0.06,1.54,0
2025-04-01 08:59:00,73.18,1499,8.79,0.06,1.26,0
2025-04-01 09:00:00,76.51,1483,8.69,0.07,1.51,0
2025-04-01 09:01:00,76.87,1547,8.88,0.07,1.41,0
2025-04-01 09:02:00,72.5,1476,8.04,0.05,1.63,0
2025-04-01 09:03:00,76.52,1473,8.58,0.04,1.1,0
2025-04-01 09:04:00,71.68,1547,8.96,0.06,1.47,0
2025-04-01 09:05:00,74.48,1546,8.48,0.09,1.04,0
2025-04-01 09:06:00,74.5,1477,8.86,0.07,1.81,0
2025-04-01 09:07:00,71.9,1474,8.7,0.05,1.22,0
2025-04-01 09:08:00,72.93,1466,8.54,0.04,1.05,0
2025-04-01 09:09:00,72.95,1502,8.88,0.07,1.46,0
2025-04-01 09:10:00,77.17,1478,8.07,0.08,1.1,0
2025-04-01 09:11:00,72.86,1482,8.13,0.06,1.7,0
2025-04-01 09:12:00,77.02,1526,8.39,0.03,1.72,0
2025-04-01 09:13:00,75.56,1480,8.8,0.04,1.7,1
2025-04-01 09:14:00,74.0,1512,8.74,0.05,1.69,1
2025-04-01 09:15:00,73.94,1521,8.08,0.08,1.0,0
2025-04-01 09:16:00,72.85,1515,8.83,0.06,2.0,0
2025-04-01 09:17:00,72.7,1510,8.84,0.06,1.26,0
2025-04-01 09:18:00,76.65,1504,8.56,0.08,1.53,0
2025-04-01 09:19:00,75.3,1504,8.43,0.09,1.09,0
2025-04-01 09:20:00,75.85,1513,8.63,0.04,1.46,1
2025-04-01 09:21:00,76.11,1539,8.8,0.05,1.26,0
2025-04-01 09:22:00,77.01,1471,8.64,0.04,1.75,0
2025-04-01 09:23:00,72.92,1461,8.59,0.05,1.03,0
2025-04-01 09:24:00,80.13,1532,8.75,0.09,1.68,0
