report_date,asset,avg_liquidity_ratio,turnover_usd,volatility_index
2025-01-01,BTC,1.8231,4050451.72,0.2925
2025-01-01,ETH,1.1571,33931790.99,0.5737
2025-01-01,SOL,2.2275,6651430.97,0.3953
2025-01-01,BNB,0.8477,12182794.94,0.4537
2025-01-01,XRP,0.8425,11351181.33,0.5549
2025-01-01,ADA,1.6719,12258506.13,0.5125
2025-01-01,DOT,2.0951,3272947.91,0.6641
2025-01-01,MATIC,1.917,17290521.69,0.2088
2025-01-02,BTC,2.3315,17136970.89,0.1649
2025-01-02,ETH,0.9547,38594763.39,0.5226
2025-01-02,SOL,2.0914,33648735.04,0.4754
2025-01-02,BNB,2.357,18898443.84,0.4864
2025-01-02,XRP,2.127,28977829.6,0.7032
2025-01-02,ADA,1.7238,32592017.12,0.1321
2025-01-02,DOT,1.1646,15154294.47,0.1559
2025-01-02,MATIC,1.1725,7242060.04,0.2946
2025-01-03,BTC,1.8171,18322951.52,0.3591
2025-01-03,ETH,1.1352,14213068.53,0.7557
2025-01-03,SOL,1.8369,28583502.24,0.2198
2025-01-03,BNB,1.9666,9862904.74,0.3656
2025-01-03,XRP,2.3832,29879989.91,0.4899
2025-01-03,ADA,1.8954,38399780.65,0.6432
2025-01-03,DOT,1.1665,4348210.24,0.3208
2025-01-03,MATIC,1.2284,11861279.43,0.76
2025-01-04,BTC,2.2022,16216470.99,0.5588
2025-01-04,ETH,1.433,41410998.77,0.4212
2025-01-04,SOL,1.2238,13358355.32,0.493
2025-01-04,BNB,1.2204,27552611.59,0.7285
2025-01-04,XRP,1.439,12211471.88,0.7983
2025-01-04,ADA,1.6152,6818195.31,0.133
2025-01-04,DOT,0.9754,29352733.75,0.6545
2025-01-04,MATIC,1.4755,5668163.66,0.3671
2025-01-05,BTC,2.3938,25222802.49,0.7798
2025-01-05,ETH,2.1772,3482202.92,0.6045
2025-01-05,SOL,1.8907,25552753.88,0.2868
2025-01-05,BNB,1.8255,7685191.29,0.4043
2025-01-05,XRP,1.526,43060268.96,0.7131
2025-01-05,ADA,1.2214,24024616.75,0.2251
2025-01-05,DOT,2.2602,39561779.93,0.3089
2025-01-05,MATIC,1.8223,28576748.88,0.207
2025-01-06,BTC,2.02,25653919.27,0.645
2025-01-06,ETH,1.6486,3024019.64,0.3269
2025-01-06,SOL,0.8312,42022141.88,0.7151
2025-01-06,BNB,2.1307,15915593.27,0.1405
2025-01-06,XRP,2.2048,42771876.7,0.16
2025-01-06,ADA,1.5776,5906925.78,0.6324
2025-01-06,DOT,2.0253,8392441.51,0.4327
2025-01-06,MATIC,1.6797,14132378.42,0.7107
2025-01-07,BTC,1.477,11895524.63,0.4775
2025-01-07,ETH,1.9679,11448344.66,0.3182
2025-01-07,SOL,2.3922,30294878.42,0.4067
2025-01-07,BNB,1.6281,8082176.23,0.2573
2025-01-07,XRP,1.3409,27708966.18,0.2611
2025-01-07,ADA,1.1523,5981709.61,0.5418
2025-01-07,DOT,1.1663,41027640.55,0.7017
2025-01-07,MATIC,0.9134,12996194.64,0.5683
2025-01-08,BTC,1.1428,8557097.65,0.7549
2025-01-08,ETH,1.7137,22852183.11,0.6492
2025-01-08,SOL,2.092,10997216.4,0.1679
2025-01-08,BNB,1.4897,20790302.17,0.4269
2025-01-08,XRP,1.9665,31281310.99,0.7889
2025-01-08,ADA,0.9575,19910093.85,0.3375
2025-01-08,DOT,2.1787,13443566.02,0.2331
2025-01-08,MATIC,1.5178,20719028.87,0.295
2025-01-09,BTC,1.1997,41777155.17,0.4102
2025-01-09,ETH,2.1782,26113663.12,0.1354
2025-01-09,SOL,2.3989,38113158.57,0.7783
2025-01-09,BNB,2.2822,38645220.85,0.2164
2025-01-09,XRP,1.577,11977386.57,0.3807
2025-01-09,ADA,0.8938,18916871.0,0.7897
2025-01-09,DOT,1.2243,35930965.28,0.4185
2025-01-09,MATIC,1.4768,43207340.92,0.7968
2025-01-10,BTC,1.6892,33173147.56,0.2084
2025-01-10,ETH,1.2747,43685793.33,0.5054
2025-01-10,SOL,1.6675,34414973.54,0.14
2025-01-10,BNB,1.7347,24119716.08,0.6969
2025-01-10,XRP,1.0519,43352713.94,0.1561
2025-01-10,ADA,1.0973,27991474.47,0.5726
2025-01-10,DOT,1.1763,8035237.79,0.7232
2025-01-10,MATIC,1.1939,27969804.45,0.5336
2025-01-11,BTC,1.4708,27514236.15,0.4659
2025-01-11,ETH,2.2955,11578886.38,0.6013
2025-01-11,SOL,1.1819,19623005.57,0.5702
2025-01-11,BNB,1.28,16279442.24,0.6263
2025-01-11,XRP,0.9161,22247991.95,0.7989
2025-01-11,ADA,2.3938,6076950.29,0.2492
2025-01-11,DOT,1.2243,42196893.88,0.7166
2025-01-11,MATIC,2.2068,18520137.73,0.2104
2025-01-12,BTC,2.134,32548676.85,0.5282
2025-01-12,ETH,2.3796,30467005.34,0.1055
2025-01-12,SOL,2.1074,15573907.59,0.5644
2025-01-12,BNB,2.3023,8640226.8,0.1808
2025-01-12,XRP,0.9713,26235392.92,0.2906
2025-01-12,ADA,1.7677,33139711.86,0.2425
2025-01-12,DOT,1.8148,14087323.87,0.442
2025-01-12,MATIC,2.2485,38536355.96,0.1646
2025-01-13,BTC,1.4777,14620569.41,0.1025
2025-01-13,ETH,2.0338,29758761.85,0.2834
2025-01-13,SOL,1.986,26170577.69,0.3994
2025-01-13,BNB,0.8155,6160242.12,0.7182
2025-01-13,XRP,2.2463,25914792.15,0.6842
2025-01-13,ADA,1.732,9219938.99,0.1892
2025-01-13,DOT,1.2932,40757222.53,0.6573
2025-01-13,MATIC,2.1771,40754834.73,0.2471
2025-01-14,BTC,1.1992,7317332.11,0.6461
2025-01-14,ETH,2.2146,20067850.37,0.5345
2025-01-14,SOL,1.0473,42055002.66,0.7052
2025-01-14,BNB,2.3619,37052412.24,0.717
2025-01-14,XRP,0.8397,33935707.81,0.3325
2025-01-14,ADA,2.2893,36693875.84,0.7048
2025-01-14,DOT,2.0972,14205839.8,0.6512
2025-01-14,MATIC,0.973,39631004.88,0.701
2025-01-15,BTC,1.1559,37296637.44,0.4222
2025-01-15,ETH,1.2883,36404510.96,0.2593
2025-01-15,SOL,0.8379,11111451.11,0.3298
2025-01-15,BNB,2.183,43609342.37,0.2954
2025-01-15,XRP,1.8264,19786492.14,0.7868
2025-01-15,ADA,1.6579,42447959.89,0.1807
2025-01-15,DOT,2.3526,10499848.28,0.7738
2025-01-15,MATIC,1.2247,7552906.98,0.4042
2025-01-16,BTC,1.9657,16174447.2,0.5243
2025-01-16,ETH,1.6183,19178208.2,0.5036
2025-01-16,SOL,1.2076,32768981.92,0.1012
2025-01-16,BNB,2.2809,25614983.88,0.6036
2025-01-16,XRP,1.9871,31166397.19,0.355
2025-01-16,ADA,0.912,30897982.77,0.3311
2025-01-16,DOT,1.3023,38616641.74,0.6038
2025-01-16,MATIC,1.2805,15989955.81,0.3859
2025-01-17,BTC,1.4438,15417518.51,0.1891
2025-01-17,ETH,1.4727,42495274.17,0.5741
2025-01-17,SOL,2.2445,28851626.47,0.3107
2025-01-17,BNB,1.6767,3017049.47,0.3008
2025-01-17,XRP,1.4878,27359360.81,0.5583
2025-01-17,ADA,1.544,21570711.57,0.2496
2025-01-17,DOT,1.5571,40849594.68,0.6572
2025-01-17,MATIC,1.0715,6561412.54,0.4608
2025-01-18,BTC,1.8127,17077906.73,0.6729
2025-01-18,ETH,2.0018,31257418.16,0.2572
2025-01-18,SOL,1.1186,4025866.28,0.2714
2025-01-18,BNB,1.5602,38688983.17,0.151
2025-01-18,XRP,1.4631,29450145.99,0.2361
2025-01-18,ADA,1.9142,23763841.1,0.2708
2025-01-18,DOT,1.8497,3232882.36,0.6257
2025-01-18,MATIC,2.0321,7476666.46,0.3976
2025-01-19,BTC,1.0814,43234573.78,0.4626
2025-01-19,ETH,0.8803,13466327.75,0.6938
2025-01-19,SOL,1.5303,36659497.27,0.5673
2025-01-19,BNB,2.3806,28008997.38,0.765
2025-01-19,XRP,2.2263,28731397.56,0.6035
2025-01-19,ADA,1.6076,37883905.13,0.4835
2025-01-19,DOT,2.2355,34233528.57,0.4323
2025-01-19,MATIC,1.2147,13384068.98,0.5464
2025-01-20,BTC,2.0253,24894592.14,0.5387
2025-01-20,ETH,1.2394,6254300.86,0.3
2025-01-20,SOL,1.2347,16427801.87,0.4781
2025-01-20,BNB,1.0214,12712982.15,0.5858
2025-01-20,XRP,1.9303,5697611.73,0.3853
2025-01-20,ADA,1.6682,20462517.83,0.2448
2025-01-20,DOT,1.4722,41003216.09,0.5089
2025-01-20,MATIC,1.9128,38982745.36,0.6359
2025-01-21,BTC,1.4086,3247635.51,0.3462
2025-01-21,ETH,2.0056,38844813.92,0.7674
2025-01-21,SOL,1.4704,34395658.1,0.4823
2025-01-21,BNB,1.7652,12262625.16,0.2536
2025-01-21,XRP,1.4973,4219042.44,0.3353
2025-01-21,ADA,1.8866,19981300.1,0.2155
2025-01-21,DOT,1.5478,8360367.49,0.5356
2025-01-21,MATIC,0.8431,19548850.77,0.4951
2025-01-22,BTC,0.8434,29995485.22,0.195
2025-01-22,ETH,1.5387,5111954.61,0.3654
2025-01-22,SOL,1.1387,16727523.81,0.6329
2025-01-22,BNB,1.4066,34584412.59,0.6823
2025-01-22,XRP,1.2036,6440061.78,0.1136
2025-01-22,ADA,1.6631,44996128.8,0.345
2025-01-22,DOT,1.8402,35811788.08,0.5562
2025-01-22,MATIC,2.0068,42883692.77,0.2396
2025-01-23,BTC,0.8326,9400058.52,0.1884
2025-01-23,ETH,1.8711,26686722.44,0.2526
